X,Y,Z_ground_m,Z_sensor_m,Mag_anomaly_nT,FGrav_mgal
745313.56,6415397.50,367.80,59.90,-70.78,-0.045
745900.45,6415401.00,369.06,55.14,-198.47,-0.106
746199.45,6415407.50,370.98,59.93,-233.95,-0.097
746489.33,6415401.50,371.00,61.32,-155.99,-0.096
746805.49,6415406.50,371.85,56.78,-169.44,-0.044
747075.65,6415420.50,372.18,56.56,-207.43,-0.028
747407.97,6415418.00,373.81,60.12,-263.22,-0.049
747699.93,6415391.00,379.46,66.40,-303.96,-0.016
747999.04,6415402.50,385.70,56.21,-335.74,-0.002
748307.45,6415410.50,389.35,55.57,-310.93,-0.013
748596.40,6415405.00,388.56,57.90,-354.34,-0.036
748906.57,6415404.00,393.24,53.95,-312.25,0.034
749172.15,6415389.50,396.98,53.00,-252.97,0.075
744682.28,6415502.00,365.89,57.80,-38.85,-0.043
744988.09,6415496.00,365.89,66.40,36.57,-0.069
745307.97,6415499.00,366.10,61.43,-49.81,-0.101
745903.98,6415512.00,370.66,57.89,-171.02,-0.074
746189.70,6415520.00,373.62,59.91,-226.46,-0.058
746495.76,6415517.00,370.64,62.22,-186.16,-0.085
746810.47,6415505.50,373.09,59.05,-159.38,-0.042
747096.08,6415511.00,373.14,58.92,-204.67,-0.064
747380.28,6415492.50,374.90,61.08,-273.06,-0.044
747701.19,6415504.00,379.28,59.59,-319.30,0.037
747999.34,6415489.50,384.21,55.02,-381.55,-0.040
748312.46,6415505.00,388.57,53.47,-390.08,-0.034
748585.11,6415490.50,392.01,55.77,-399.18,-0.016
748918.63,6415516.50,392.34,54.43,-390.18,-0.049
749183.42,6415515.50,395.49,56.60,-397.28,0.015
744697.16,6415596.00,366.79,58.00,-60.17,-0.036
744988.32,6415607.00,366.79,66.86,-50.62,-0.117
745297.31,6415588.00,366.71,62.87,-28.96,-0.106
745896.10,6415602.50,369.46,60.00,-147.79,-0.079
746204.04,6415605.50,372.02,59.07,-220.92,-0.066
746501.32,6415585.50,371.31,62.55,-200.41,-0.059
746800.92,6415593.50,372.39,60.67,-151.48,-0.061
747106.75,6415582.00,372.91,60.47,-204.98,-0.057
747401.53,6415611.50,374.87,61.71,-311.94,-0.044
747698.20,6415598.00,378.05,54.76,-334.21,-0.074
748003.20,6415598.00,384.71,53.50,-438.22,-0.039
748304.88,6415629.00,387.81,51.87,-484.86,0.006
748599.76,6415592.00,391.94,53.40,-457.14,-0.037
748890.44,6415585.00,392.44,55.42,-446.78,-0.039
749206.32,6415613.50,391.20,56.60,-397.28,-0.009
744697.46,6415702.00,366.13,58.00,-60.17,-0.085
745006.07,6415710.50,366.20,61.10,-62.85,-0.123
745311.15,6415717.50,366.64,60.01,-78.94,-0.059
745900.35,6415687.00,368.30,57.62,-143.98,-0.117
746205.11,6415690.50,370.51,57.61,-213.56,-0.017
746498.96,6415711.00,372.26,60.49,-205.68,-0.047
746800.42,6415709.00,373.20,58.99,-193.18,-0.026
747084.35,6415712.00,373.81,60.98,-253.36,-0.016
747396.37,6415713.00,375.00,60.66,-379.26,-0.025
747691.21,6415723.50,379.49,55.73,-472.35,-0.088
747982.90,6415680.00,382.62,54.07,-488.68,-0.045
748295.08,6415707.50,389.58,55.46,-517.25,0.003
748587.77,6415698.50,392.06,55.82,-498.20,-0.028
748909.31,6415710.00,392.03,57.80,-496.53,-0.038
749206.27,6415698.50,390.80,56.60,-397.28,-0.034
744694.36,6415790.50,369.07,56.00,11.12,-0.062
744986.63,6415819.50,368.93,54.75,-84.14,-0.088
745307.88,6415810.00,369.64,57.62,-113.47,-0.082
745597.57,6415788.50,370.82,57.68,-114.12,-0.042
745903.92,6415809.00,369.64,53.97,-139.66,-0.081
746201.43,6415809.50,370.00,55.28,-202.80,-0.037
746497.78,6415814.50,371.09,58.76,-207.73,-0.040
746804.66,6415802.50,373.28,58.28,-226.54,-0.016
747083.42,6415815.50,372.89,60.99,-304.16,-0.060
747394.10,6415805.50,374.03,59.65,-445.34,-0.069
747720.21,6415798.50,380.16,56.46,-574.58,-0.095
748003.46,6415805.00,383.30,54.26,-576.60,-0.122
748596.90,6415817.50,389.67,60.31,-540.84,-0.032
748895.95,6415801.00,387.62,60.84,-530.12,-0.031
749195.37,6415803.50,388.52,63.00,-530.56,-0.042
744696.83,6415895.50,368.75,56.00,11.12,-0.075
745009.27,6415920.50,368.75,53.69,-89.53,-0.069
745303.58,6415920.00,368.98,57.17,-113.58,-0.088
746197.86,6415921.50,371.39,55.34,-204.68,-0.042
746808.94,6415907.00,371.68,58.15,-274.20,-0.034
748013.20,6415920.00,382.81,53.94,-771.69,-0.148
748282.34,6415917.50,387.61,59.65,-630.32,-0.030
748905.24,6415900.00,387.95,60.75,-584.67,-0.045
749192.52,6415911.00,389.44,63.00,-530.56,-0.034
